Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721716843636,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,2.777777910232544,8.108107566833496,5.263157844543457,2.702702760696411,2.702702760696411,5.555555820465088,2.702702760696411,2.702702760696411,5.263157844543457,2.702702760696411,0,2.702702760696411,5.263157844543457,2.702702760696411,5.263157844543457,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,2.702702760696411,2.702702760696411,0,246935.1742553711,143152.14373779297,0,67221331968,8589930496,1864720384,0
199,1721716843636,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,2.777777910232544,8.108107566833496,5.263157844543457,2.702702760696411,2.702702760696411,5.555555820465088,2.702702760696411,2.702702760696411,5.263157844543457,2.702702760696411,0,2.702702760696411,5.263157844543457,2.702702760696411,5.263157844543457,5.263157844543457,5.128205299377441,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,2.702702760696411,2.702702760696411,0,246935.1742553711,143152.1450805664,0,67221331968,8589930496,1864720384,0
200,1721716843836,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.000001907348633,0,0,0,70,0,0,246944.45751953125,143160.11151123047,0,67221331968,8589930496,1865752576,0
200,1721716844036,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,246954.80401611328,143169.1368408203,0,67221331968,8589930496,1868115968,0
200,1721716844236,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,246965.35455322266,143178.36505126953,0,67221331968,8589930496,1868115968,0
200,1721716844436,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,246975.97521972656,143187.6591796875,0,67221331968,8589930496,1868115968,0
200,1721716844636,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,246986.5244140625,143196.8521118164,0,67221331968,8589930496,1868115968,0
200,1721716844836,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,246997.01727294922,143206.05499267578,0,67221331968,8589930496,1868115968,0
200,1721716845036,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247007.5556640625,143215.2706298828,0,67221331968,8589930496,1868115968,0
200,1721716845236,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247018.12701416016,143224.51794433594,0,67221331968,8589930496,1868115968,0
200,1721716845437,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247028.72930908203,143233.7969970703,0,67221331968,8589930496,1868115968,0
200,1721716845637,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247039.48907470703,143243.14080810547,0,67221331968,8589930496,1868115968,0
200,1721716845837,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247050.0697631836,143252.48663330078,0,67221331968,8589930496,1868374016,0
200,1721716846037,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247060.77325439453,143261.8634033203,0,67221331968,8589930496,1868374016,0
200,1721716846237,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247071.45599365234,143271.2237548828,0,67221331968,8589930496,1868374016,0
200,1721716846437,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247082.205078125,143280.650390625,0,67221331968,8589930496,1868374016,0
200,1721716846637,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247092.9404296875,143290.0615234375,0,67221331968,8589930496,1868365824,0
200,1721716846837,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247103.6978149414,143299.48803710938,0,67221331968,8589930496,1868365824,0
200,1721716847037,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247114.40631103516,143308.87286376953,0,67221331968,8589930496,1868365824,0
200,1721716847238,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247125.1333618164,143318.27606201172,0,67221331968,8589930496,1868611584,0
200,1721716847438,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247135.83666992188,143327.65563964844,0,67221331968,8589930496,1868611584,0
200,1721716847638,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247146.51953125,143337.01782226563,0,67221331968,8589930496,1868611584,0
200,1721716847838,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247157.28063964844,143346.44793701172,0,67221331968,8589930496,1868611584,0
200,1721716848038,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247167.98663330078,143355.8328857422,0,67221331968,8589930496,1868611584,0
200,1721716848238,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247178.81091308594,143365.33276367188,0,67221331968,8589930496,1868611584,0
200,1721716848438,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247189.63037109375,143374.82354736328,0,67221331968,8589930496,1868611584,0
200,1721716848638,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247200.32482910156,143384.19567871094,0,67221331968,8589930496,1868611584,0
200,1721716848838,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247211.2188720703,143393.76123046875,0,67221331968,8589930496,1868603392,0
200,1721716849038,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247222.04022216797,143403.2582397461,0,67221331968,8589930496,1868603392,0
200,1721716849239,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247232.7540283203,143412.64813232422,0,67221331968,8589930496,1868603392,0
200,1721716849439,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247243.5177001953,143421.99938964844,0,67221331968,8589930496,1868603392,0
200,1721716849639,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247254.2816772461,143431.52685546875,0,67221331968,8589930496,1868603392,0
200,1721716849839,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247265.0394897461,143440.95684814453,0,67221331968,8589930496,1868603392,0
200,1721716850039,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247275.7244873047,143450.32806396484,0,67221331968,8589930496,1868603392,0
200,1721716850239,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247286.62615966797,143459.8956298828,0,67221331968,8589930496,1868603392,0
200,1721716850439,1187,1111,800,800,1099,1060,1894,1041,800,800,799,800,900,800,799,799,799,800,799,930,800,800,799,976,801,800,900,800,1152,1104,2981,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,247297.33978271484,143469.28515625,0,67221331968,8589930496,1868603392,0
