code, run
chatgpt_temp_0.0/16.py, 3m24.640s
chatgpt_temp_0.0/4.py, 3m4.798s
chatgpt_temp_0.0/52.py, 3m3.179s
chatgpt_temp_0.0/53.py, 3m4.658s
chatgpt_temp_0.0/61.py, 1m45.311s
chatgpt_temp_0.0/63.py, 2m56.956s
chatgpt_temp_0.0/66.py, 3m2.959s
chatgpt_temp_0.0/79.py, 2m54.024s
chatgpt_temp_0.0/90.py, 2m17.027s
code-millenials-34b_temp_0.0/16.py, 4m6.287s
code-millenials-34b_temp_0.0/4.py, 3m53.486s
code-millenials-34b_temp_0.0/52.py, 3m41.130s
code-millenials-34b_temp_0.0/53.py, 3m0.104s
code-millenials-34b_temp_0.0/61.py, 1m48.823s
code-millenials-34b_temp_0.0/63.py, 2m10.243s
code-millenials-34b_temp_0.0/66.py, 2m57.271s
code-millenials-34b_temp_0.0/79.py, 2m55.685s
code-millenials-34b_temp_0.0/90.py, 2m26.631s
deepseek-coder-33b-instruct_temp_0.0/16.py, 4m4.856s
deepseek-coder-33b-instruct_temp_0.0/4.py, 3m38.352s
deepseek-coder-33b-instruct_temp_0.0/52.py, 2m36.324s
deepseek-coder-33b-instruct_temp_0.0/53.py, 3m12.028s
deepseek-coder-33b-instruct_temp_0.0/61.py, 4m34.101s
deepseek-coder-33b-instruct_temp_0.0/63.py, 6m22.935s
deepseek-coder-33b-instruct_temp_0.0/66.py, 2m57.329s
deepseek-coder-33b-instruct_temp_0.0/79.py, 3m0.353s
deepseek-coder-33b-instruct_temp_0.0/90.py, 2m23.155s
gpt-4_temp_0.0/16.py, 3m24.716s
gpt-4_temp_0.0/4.py, 3m14.758s
gpt-4_temp_0.0/52.py, 3m1.051s
gpt-4_temp_0.0/53.py, 2m54.581s
gpt-4_temp_0.0/61.py, 1m37.357s
gpt-4_temp_0.0/63.py, 2m9.914s
gpt-4_temp_0.0/66.py, 2m57.276s
gpt-4_temp_0.0/79.py, 2m58.087s
gpt-4_temp_0.0/90.py, 2m15.087s
speechless-codellama-34b_temp_0.0/16.py, 3m29.589s
speechless-codellama-34b_temp_0.0/4.py, 2m53.639s
speechless-codellama-34b_temp_0.0/52.py, 3m40.812s
speechless-codellama-34b_temp_0.0/53.py, 3m30.617s
speechless-codellama-34b_temp_0.0/61.py, 2m12.575s
speechless-codellama-34b_temp_0.0/63.py, 1m34.024s
speechless-codellama-34b_temp_0.0/66.py, 3m3.061s
speechless-codellama-34b_temp_0.0/79.py, 3m4.615s
speechless-codellama-34b_temp_0.0/90.py, 2m15.069s
wizardcoder-33b-1.1_temp_0.0/16.py, 2m53.985s
wizardcoder-33b-1.1_temp_0.0/4.py, 3m1.998s
wizardcoder-33b-1.1_temp_0.0/52.py, 3m3.419s
wizardcoder-33b-1.1_temp_0.0/53.py, 2m55.986s
wizardcoder-33b-1.1_temp_0.0/61.py, 4m12.469s
wizardcoder-33b-1.1_temp_0.0/63.py, 6m5.375s
wizardcoder-33b-1.1_temp_0.0/66.py, 2m57.283s
wizardcoder-33b-1.1_temp_0.0/79.py, 2m58.913s
wizardcoder-33b-1.1_temp_0.0/90.py, 2m24.095s
