Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724190221818,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,5.405405521392822,5.405405521392822,2.777777910232544,2.777777910232544,7.894736289978027,0,2.702702760696411,5.405405521392822,5.263157844543457,7.894736289978027,2.777777910232544,2.777777910232544,2.777777910232544,2.702702760696411,2.777777910232544,2.857142925262451,5.405405521392822,2.777777910232544,5.405405521392822,5.405405521392822,5.405405521392822,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,5.405405521392822,2.777777910232544,2.702702760696411,5.405405521392822,2.777777910232544,8.108107566833496,2.777777910232544,0,118074.4536743164,119322.25598144531,0,67221331968,8589930496,1369591808,471117824
199,1724190221818,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,5.405405521392822,5.405405521392822,2.777777910232544,2.777777910232544,7.894736289978027,0,2.702702760696411,5.405405521392822,5.263157844543457,7.894736289978027,2.777777910232544,2.777777910232544,2.777777910232544,2.702702760696411,2.777777910232544,2.857142925262451,5.405405521392822,2.777777910232544,5.405405521392822,5.405405521392822,5.405405521392822,2.702702760696411,2.702702760696411,5.263157844543457,5.263157844543457,5.405405521392822,2.777777910232544,2.702702760696411,5.405405521392822,2.777777910232544,8.108107566833496,2.777777910232544,0,118074.4536743164,119322.25598144531,0,67221331968,8589930496,1369591808,471117824
200,1724190222018,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,14.285715103149414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,118082.56274414063,119329.04217529297,0,67221331968,8589930496,1373458432,471117824
200,1724190222218,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118092.15600585938,119337.31268310547,0,67221331968,8589930496,1373458432,471117824
200,1724190222419,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118101.7412109375,119345.56805419922,0,67221331968,8589930496,1373458432,471117824
200,1724190222619,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118111.29235839844,119353.7964477539,0,67221331968,8589930496,1373458432,471117824
200,1724190222819,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118120.85833740234,119362.0394897461,0,67221331968,8589930496,1373458432,471117824
200,1724190223019,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118130.5571899414,119370.41625976563,0,67221331968,8589930496,1373458432,471117824
200,1724190223219,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118140.23034667969,119378.76446533203,0,67221331968,8589930496,1375379456,471117824
200,1724190223419,1272,1074,5500,800,1100,800,1199,800,931,800,800,966,800,800,800,954,800,854,957,933,992,932,800,800,800,857,1201,800,800,800,5500,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,118149.8705444336,119387.08288574219,0,67221331968,8589930496,1375039488,471117824
