Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1725162810098,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,2.702702760696411,2.6315789222717285,7.894736289978027,5.128205299377441,5.128205299377441,0,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,2.6315789222717285,2.702702760696411,2.6315789222717285,2.702702760696411,2.702702760696411,8.108107566833496,0,5.128205299377441,2.6315789222717285,2.6315789222717285,5.263157844543457,2.6315789222717285,5.263157844543457,5.128205299377441,5.128205299377441,2.6315789222717285,7.692307949066162,2.6315789222717285,7.500000476837158,5.128205299377441,2.6315789222717285,2.702702760696411,0,80031.64929199219,81453.40942382813,0,67221331968,8589930496,2176069632,0
199,1725162810098,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,2.702702760696411,2.6315789222717285,7.894736289978027,5.128205299377441,5.128205299377441,0,5.263157844543457,5.128205299377441,5.263157844543457,5.263157844543457,2.6315789222717285,2.702702760696411,2.6315789222717285,2.702702760696411,2.702702760696411,8.108107566833496,0,5.128205299377441,2.6315789222717285,2.6315789222717285,5.263157844543457,2.6315789222717285,5.263157844543457,5.128205299377441,5.128205299377441,2.6315789222717285,7.692307949066162,2.6315789222717285,7.500000476837158,5.128205299377441,2.6315789222717285,2.702702760696411,0,80031.65673828125,81453.4111328125,0,67221331968,8589930496,2176069632,0
200,1725162810298,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,21.052631378173828,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80039.63220214844,81460.1557006836,0,67221331968,8589930496,2192556032,0
200,1725162810498,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80047.99481201172,81467.29376220703,0,67221331968,8589930496,2192556032,0
200,1725162810698,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80056.3671875,81474.39678955078,0,67221331968,8589930496,2192556032,0
200,1725162810898,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80064.87475585938,81481.7138671875,0,67221331968,8589930496,2192556032,0
200,1725162811098,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80073.27337646484,81488.89050292969,0,67221331968,8589930496,2192556032,0
200,1725162811298,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80081.96960449219,81496.34594726563,0,67221331968,8589930496,2195132416,0
200,1725162811498,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80090.48236083984,81503.62585449219,0,67221331968,8589930496,2195132416,0
200,1725162811699,1500,1008,1499,800,800,800,800,800,1099,1004,1099,1098,800,1099,800,800,800,800,800,1100,1100,800,1100,800,800,1098,800,1199,1083,800,1100,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80099.00262451172,81510.91345214844,0,67221331968,8589930496,2195132416,0
