__run_id,__done,sampling,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_0_repetition_0,DONE,200,4,16.21,0,2312590.018,10126880.465,0,67221331968.0,8589930496.0,2199975171.084,0.0,776.175
run_1_repetition_0,DONE,200,61,14.409,0,2141203.598,9076961.908,0,67221331968.0,8589930496.0,2188938156.973,0.0,688.924
run_2_repetition_0,DONE,200,79,81.44,0,12920409.989,50996504.214,0,67221331968.0,8589930496.0,2197971805.262,0.0,3948.806
run_3_repetition_0,DONE,200,63,15.01,0,2637906.809,9757393.263,0,67221331968.0,8589930496.0,2196842522.597,0.0,714.296
run_4_repetition_0,DONE,200,90,9.006,0,1653058.478,5979788.789,0,67221331968.0,8589930496.0,2199904430.298,0.0,424.864
run_5_repetition_0,DONE,200,53,91.247,0,17376986.418,59242004.035,0,67221331968.0,8589930496.0,2190298438.428,0.0,4430.367
run_6_repetition_0,DONE,200,66,0.402,0,162006.22,525157.004,0,67221331968.0,8589930496.0,2181703680.0,0.0,8.892
run_7_repetition_0,DONE,200,52,27.416,0,5768085.979,18330547.018,0,67221331968.0,8589930496.0,2194955669.18,0.0,1324.733
run_8_repetition_0,DONE,200,16,-1,0,127504.38,397391.681,0,67221331968.0,8589930496.0,2182253226.667,0.0,-1
run_0_repetition_1,DONE,200,4,15.807,0,3500565.036,10756718.387,0,67221331968.0,8589930496.0,2187186580.543,0.0,755.903
run_1_repetition_1,DONE,200,61,13.207,0,3008730.035,9071919.666,0,67221331968.0,8589930496.0,2191404694.588,0.0,629.062
run_2_repetition_1,DONE,200,79,80.441,0,18928816.953,54698547.212,0,67221331968.0,8589930496.0,2182999293.465,0.0,3909.018
run_3_repetition_1,DONE,200,63,19.812,0,5006391.945,13883289.718,0,67221331968.0,8589930496.0,2179908030.099,0.0,844.912
run_4_repetition_1,DONE,200,90,9.607,0,2527798.979,6901379.489,0,67221331968.0,8589930496.0,2185908879.36,0.0,455.165
run_5_repetition_1,DONE,200,53,91.255,0,24428993.151,64191670.687,0,67221331968.0,8589930496.0,2181743298.515,0.0,4434.843
run_6_repetition_1,DONE,200,66,0.402,0,223613.671,568378.599,0,67221331968.0,8589930496.0,2176049152.0,0.0,8.156
run_7_repetition_1,DONE,200,52,32.418,0,9337522.443,23402588.337,0,67221331968.0,8589930496.0,2187596600.195,0.0,1389.126
run_8_repetition_1,DONE,200,16,0.202,0,173903.767,429915.615,0,67221331968.0,8589930496.0,2173665280.0,0.0,0.008
run_0_repetition_2,DONE,200,4,16.009,0,4812216.728,11778912.176,0,67221331968.0,8589930496.0,2181848888.195,0.0,766.424
run_1_repetition_2,DONE,200,61,14.209,0,4361713.246,10533132.901,0,67221331968.0,8589930496.0,2180348437.041,0.0,679.399
run_2_repetition_2,DONE,200,79,81.04,0,25394458.407,59546963.271,0,67221331968.0,8589930496.0,2172790738.713,0.0,3943.52
run_3_repetition_2,DONE,200,63,15.609,0,5206890.533,11868610.858,0,67221331968.0,8589930496.0,2193377996.8,0.0,748.253
run_4_repetition_2,DONE,200,90,9.407,0,3234978.435,7295600.253,0,67221331968.0,8589930496.0,2193301838.367,0.0,447.654
run_5_repetition_2,DONE,200,53,107.25,0,37074091.671,81283294.042,0,67221331968.0,8589930496.0,2193778520.506,0.0,4758.069
run_6_repetition_2,DONE,200,66,0.402,0,286792.463,612784.425,0,67221331968.0,8589930496.0,2179309568.0,0.0,8.887
run_7_repetition_2,DONE,200,52,35.418,0,13031671.793,27541885.934,0,67221331968.0,8589930496.0,2186944557.765,0.0,1525.419
run_8_repetition_2,DONE,200,16,0.21,0,221702.233,463580.518,0,67221331968.0,8589930496.0,2163705173.333,0.0,0.008
run_0_repetition_3,DONE,200,4,15.809,0,6044018.251,12544149.798,0,67221331968.0,8589930496.0,2171575561.481,0.0,759.625
run_1_repetition_3,DONE,200,61,14.007,0,5448473.641,11195726.678,0,67221331968.0,8589930496.0,2179959523.556,0.0,672.736
run_2_repetition_3,DONE,200,79,81.841,0,32196131.079,64743367.392,0,67221331968.0,8589930496.0,2183738061.547,0.0,3980.49
run_3_repetition_3,DONE,200,63,15.009,0,6239542.186,12287555.773,0,67221331968.0,8589930496.0,2179718636.052,0.0,720.142
run_4_repetition_3,DONE,200,90,9.006,0,3851453.052,7524078.447,0,67221331968.0,8589930496.0,2187939404.255,0.0,427.678
run_5_repetition_3,DONE,200,53,109.855,0,46762788.825,89432875.051,0,67221331968.0,8589930496.0,2188284149.314,0.0,4744.131
run_6_repetition_3,DONE,200,66,0.402,0,350371.56,657421.756,0,67221331968.0,8589930496.0,2177970176.0,0.0,9.077
run_7_repetition_3,DONE,200,52,28.415,0,12761625.2,23754604.629,0,67221331968.0,8589930496.0,2180793031.111,0.0,1374.669
run_8_repetition_3,DONE,200,16,0.202,0,268963.647,496715.076,0,67221331968.0,8589930496.0,2167922688.0,0.0,0.008
run_0_repetition_4,DONE,200,4,15.01,0,6956090.892,12773478.531,0,67221331968.0,8589930496.0,2177417109.61,0.0,718.0
run_1_repetition_4,DONE,200,61,19.019,0,8869415.846,16155825.409,0,67221331968.0,8589930496.0,2177977227.876,0.0,807.739
run_2_repetition_4,DONE,200,79,106.051,0,50255887.886,89832366.159,0,67221331968.0,8589930496.0,2182196100.812,0.0,4577.471
run_3_repetition_4,DONE,200,63,15.21,0,7601912.545,13348663.392,0,67221331968.0,8589930496.0,2185864060.718,0.0,728.263
run_4_repetition_4,DONE,200,90,9.006,0,4623918.985,8067694.137,0,67221331968.0,8589930496.0,2189849011.745,0.0,426.581
run_5_repetition_4,DONE,200,53,93.053,0,47258656.638,81169965.173,0,67221331968.0,8589930496.0,2191385330.296,0.0,4525.71
run_6_repetition_4,DONE,200,66,0.403,0,415220.789,703158.422,0,67221331968.0,8589930496.0,2190209024.0,0.0,8.896
