Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1725160069265,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,2.6315789222717285,2.702702760696411,5.263157844543457,2.6315789222717285,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,2.702702760696411,2.6315789222717285,2.6315789222717285,5.263157844543457,2.6315789222717285,2.702702760696411,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.702702760696411,5.128205299377441,2.702702760696411,2.702702760696411,8.108107566833496,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.702702760696411,0,26588.677673339844,43776.61083984375,0,67221331968,8589930496,2178789376,0
199,1725160069266,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,2.702702760696411,2.702702760696411,2.702702760696411,2.702702760696411,2.6315789222717285,2.702702760696411,5.263157844543457,2.6315789222717285,2.702702760696411,2.702702760696411,2.702702760696411,5.263157844543457,2.702702760696411,2.6315789222717285,2.6315789222717285,5.263157844543457,2.6315789222717285,2.702702760696411,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.702702760696411,5.128205299377441,2.702702760696411,2.702702760696411,8.108107566833496,2.6315789222717285,2.702702760696411,5.263157844543457,2.702702760696411,2.702702760696411,0,26588.687255859375,43776.613220214844,0,67221331968,8589930496,2178789376,0
200,1725160069466,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285715103149414,0,0,0,90,0,0,26597.40838623047,43784.107971191406,0,67221331968,8589930496,2187816960,0
200,1725160069666,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26606.742797851563,43792.20959472656,0,67221331968,8589930496,2187816960,0
200,1725160069866,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26616.035705566406,43800.27331542969,0,67221331968,8589930496,2187816960,0
200,1725160070066,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26625.571350097656,43808.54626464844,0,67221331968,8589930496,2188075008,0
200,1725160070266,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26635.199645996094,43816.92248535156,0,67221331968,8589930496,2188845056,0
200,1725160070466,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26644.88641357422,43825.36279296875,0,67221331968,8589930496,2188845056,0
200,1725160070666,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26654.49658203125,43833.72399902344,0,67221331968,8589930496,2188845056,0
200,1725160070866,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26664.16668701172,43842.146728515625,0,67221331968,8589930496,2188845056,0
200,1725160071066,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26673.788513183594,43850.52526855469,0,67221331968,8589930496,2188845056,0
200,1725160071266,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26683.44219970703,43858.92791748047,0,67221331968,8589930496,2188845056,0
200,1725160071467,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26693.108947753906,43867.34130859375,0,67221331968,8589930496,2188845056,0
200,1725160071667,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26702.749450683594,43875.72735595703,0,67221331968,8589930496,2188845056,0
200,1725160071867,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26712.529418945313,43884.24981689453,0,67221331968,8589930496,2188845056,0
200,1725160072067,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26722.258728027344,43892.70764160156,0,67221331968,8589930496,2188845056,0
200,1725160072267,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26731.93927001953,43901.122131347656,0,67221331968,8589930496,2188845056,0
200,1725160072467,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26741.635314941406,43909.55615234375,0,67221331968,8589930496,2188845056,0
200,1725160072667,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26751.42071533203,43918.0830078125,0,67221331968,8589930496,2188845056,0
200,1725160072867,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26761.109313964844,43926.50311279297,0,67221331968,8589930496,2188845056,0
200,1725160073067,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26770.77813720703,43934.90954589844,0,67221331968,8589930496,2188845056,0
200,1725160073267,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26780.559509277344,43943.41357421875,0,67221331968,8589930496,2188845056,0
200,1725160073468,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26790.316162109375,43951.89617919922,0,67221331968,8589930496,2188845056,0
200,1725160073668,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26799.99688720703,43960.30889892578,0,67221331968,8589930496,2188845056,0
200,1725160073868,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26809.809326171875,43968.83905029297,0,67221331968,8589930496,2188845056,0
200,1725160074068,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26819.55010986328,43977.28918457031,0,67221331968,8589930496,2184404992,0
200,1725160074268,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26829.432678222656,43985.876403808594,0,67221331968,8589930496,2184404992,0
200,1725160074468,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26839.27978515625,43994.43566894531,0,67221331968,8589930496,2184404992,0
200,1725160074668,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26848.978271484375,44002.851989746094,0,67221331968,8589930496,2184404992,0
200,1725160074868,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26858.70458984375,44011.27996826172,0,67221331968,8589930496,2184404992,0
200,1725160075068,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26868.43115234375,44019.70391845703,0,67221331968,8589930496,2184404992,0
200,1725160075268,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26878.19403076172,44028.15802001953,0,67221331968,8589930496,2183254016,0
200,1725160075469,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26887.91973876953,44036.58660888672,0,67221331968,8589930496,2183254016,0
200,1725160075669,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26897.64892578125,44045.02282714844,0,67221331968,8589930496,2183254016,0
200,1725160075869,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26907.512145996094,44053.515380859375,0,67221331968,8589930496,2183254016,0
200,1725160076069,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26917.260620117188,44062.017639160156,0,67221331968,8589930496,2182651904,0
200,1725160076269,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26927.06201171875,44070.51208496094,0,67221331968,8589930496,2182651904,0
200,1725160076469,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26936.83953857422,44078.99090576172,0,67221331968,8589930496,2182651904,0
200,1725160076669,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26946.58721923828,44087.425231933594,0,67221331968,8589930496,2182651904,0
200,1725160076869,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26956.521057128906,44096.05078125,0,67221331968,8589930496,2182651904,0
200,1725160077069,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26966.240783691406,44104.474060058594,0,67221331968,8589930496,2182651904,0
200,1725160077269,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26976.014038085938,44112.94055175781,0,67221331968,8589930496,2182651904,0
200,1725160077470,1100,800,1100,800,1100,800,1242,1100,799,800,796,800,800,799,816,800,800,799,800,799,800,800,799,800,800,800,800,800,800,800,899,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,26985.79296875,44121.41632080078,0,67221331968,8589930496,2182549504,0
