Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1721596997743,3862,3624,3801,3801,3658,3603,3633,3640,6.060606002807617,9.090909004211426,6.060606002807617,6.060606002807617,6.060606002807617,5.882352828979492,100,12.121212005615234,24299.62615966797,166033.51007080078,135598.82055664063,5048.467834472656,16532025344,4294963200,3846823936,815067136
1000,1721596997743,3862,3624,3801,3801,3658,3603,3633,3640,6.060606002807617,9.090909004211426,6.060606002807617,6.060606002807617,6.060606002807617,5.882352828979492,100,12.121212005615234,24299.626831054688,166033.5288696289,135598.82446289063,5048.467834472656,16532025344,4294963200,3846823936,815067136
1000,1721596998743,3862,3624,3801,3801,3658,3603,3633,3640,1,0,0,1,0,100,100,0,24299.97833251953,166054.28973388672,135618.66864013672,5048.467834472656,16532025344,4294963200,3851714560,815067136
1000,1721596999743,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,1,0,100,100,0,24300.32501220703,166074.3302001953,135637.93560791016,5048.467834472656,16532025344,4294963200,3851972608,815067136
1000,1721597000743,3862,3624,3801,3801,3658,3603,3633,3640,1.9801980257034302,0,0,0,0,100,100,0,24300.673889160156,166094.4033203125,135657.08685302734,5048.467834472656,16532025344,4294963200,3851972608,815067136
1000,1721597001743,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0.9900990128517151,0.9900990128517151,100,100,0,24301.018676757813,166114.34283447266,135676.1483154297,5048.467834472656,16532025344,4294963200,3851968512,815067136
1000,1721597002743,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,1,24301.36328125,166134.07037353516,135695.10638427734,5048.467834472656,16532025344,4294963200,3851968512,815067136
1000,1721597003743,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24301.710021972656,166153.8887939453,135714.04888916016,5048.467834472656,16532025344,4294963200,3852197888,815067136
1000,1721597004743,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24302.052490234375,166173.55657958984,135732.94537353516,5048.467834472656,16532025344,4294963200,3852197888,815067136
1000,1721597005743,3862,3624,3801,3801,3658,3603,3633,3640,0,0.9900990128517151,0,0,0,100,100,0,24302.39532470703,166193.2159423828,135751.82580566406,5048.467834472656,16532025344,4294963200,3852197888,815067136
1000,1721597006744,3862,3624,3801,3801,3658,3603,3633,3640,0,1,0,1,0,100,100,0,24302.74578857422,166213.09405517578,135770.76947021484,5048.467834472656,16532025344,4294963200,3844878336,815067136
1000,1721597007744,3862,3624,3801,3801,3658,3603,3633,3640,1.9801980257034302,0,0,0,1,100,100,0,24303.091735839844,166232.765625,135789.66796875,5048.467834472656,16532025344,4294963200,3844878336,815067136
1000,1721597008744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0.9900990128517151,100,100,0,24303.435180664063,166252.63696289063,135808.55688476563,5048.467834472656,16532025344,4294963200,3844878336,815067136
1000,1721597009744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24303.779357910156,166272.26971435547,135827.42016601563,5048.467834472656,16532025344,4294963200,3844878336,815067136
1000,1721597010744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24304.124633789063,166292.00299072266,135846.26916503906,5048.467834472656,16532025344,4294963200,3844870144,815067136
1000,1721597011744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,1,0,100,100,0,24304.47021484375,166311.71923828125,135865.12231445313,5048.467834472656,16532025344,4294963200,3844870144,815067136
1000,1721597012744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24304.812072753906,166331.3023071289,135883.91961669922,5048.467834472656,16532025344,4294963200,3844870144,815067136
1000,1721597013744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24305.154296875,166351.0147705078,135902.73211669922,5048.467834472656,16532025344,4294963200,3844870144,815067136
1000,1721597014744,3862,3624,3801,3801,3658,3603,3633,3640,1,0,0,0.9900990128517151,0.9900990128517151,100,100,1,24305.505249023438,166370.87182617188,135921.62744140625,5048.467834472656,16532025344,4294963200,3846660096,815067136
1000,1721597015744,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0.9900990128517151,1,0.9900990128517151,100,100,0,24305.852905273438,166390.43701171875,135940.41833496094,5048.467834472656,16532025344,4294963200,3846660096,815067136
1000,1721597016745,3862,3624,3801,3801,3658,3603,3633,3640,0,0,0,0,0,100,100,0,24306.195556640625,166409.96838378906,135959.16674804688,5048.467834472656,16532025344,4294963200,3846660096,815067136
