Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727653071997,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,3.22580623626709,6.25,6.060606002807617,6.25,6.25,3.22580623626709,6.25,3.22580623626709,6.25,3.22580623626709,6.25,3.22580623626709,6.25,6.25,6.25,3.22580623626709,3.22580623626709,6.45161247253418,6.25,6.25,6.25,3.22580623626709,6.25,6.45161247253418,6.25,6.25,3.22580623626709,3.125,9.67741870880127,3.22580623626709,3.22580623626709,3.125,0,200564.4907836914,15700.189819335938,0,67221331968,8589930496,2047676416,275202048
199,1727653071997,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,3.22580623626709,6.25,6.060606002807617,6.25,6.25,3.22580623626709,6.25,3.22580623626709,6.25,3.22580623626709,6.25,3.22580623626709,6.25,6.25,6.25,3.22580623626709,3.22580623626709,6.45161247253418,6.25,6.25,6.25,3.22580623626709,6.25,6.45161247253418,6.25,6.25,3.22580623626709,3.125,9.67741870880127,3.22580623626709,3.22580623626709,3.125,0,200564.49938964844,15700.191101074219,0,67221331968,8589930496,2047676416,275202048
200,1727653072197,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,200574.61328125,15708.986694335938,0,67221331968,8589930496,2057482240,275202048
200,1727653072397,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200585.39324951172,15718.377685546875,0,67221331968,8589930496,2057482240,275202048
200,1727653072597,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200596.18853759766,15727.916931152344,0,67221331968,8589930496,2057482240,275202048
200,1727653072798,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200607.1064453125,15737.504516601563,0,67221331968,8589930496,2057482240,275202048
200,1727653072998,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200617.9652709961,15747.041442871094,0,67221331968,8589930496,2057482240,275202048
200,1727653073198,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200628.80401611328,15756.558837890625,0,67221331968,8589930496,2058711040,275202048
200,1727653073398,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200639.591796875,15766.023071289063,0,67221331968,8589930496,2058711040,275202048
200,1727653073598,1100,800,1100,800,800,800,800,800,800,799,800,800,1100,799,799,799,799,834,800,799,799,800,799,800,800,800,900,800,1100,800,1004,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200650.3685913086,15775.478088378906,0,67221331968,8589930496,2058711040,275202048
