__run_id,__done,sampling,llm,code,Time,TOTAL_DRAM_ENERGY (J),TOTAL_PACKAGE_ENERGY (J),TOTAL_PP0_ENERGY (J),TOTAL_PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,AVG_USED_MEMORY,AVG_USED_SWAP,TOTAL_ENERGY (J)
run_0_repetition_0,DONE,200,speechless-codellama,4,-1.0,0,92435632.353,72283870.038,0,67221336064.0,8589930496.0,2005574653.24,252059648.0,-1.0
run_1_repetition_0,DONE,200,speechless-codellama,79,174.084,0,8353883.692,91574520.057,0,67221336064.0,8589930496.0,1980659712.0,252059648.0,9637.072
run_2_repetition_0,DONE,200,speechless-codellama,63,74.239,0,6308480.293,41364887.464,0,67221336064.0,8589930496.0,1987946490.509,252059648.0,4174.883
run_3_repetition_0,DONE,200,speechless-codellama,53,177.084,0,21597450.77,103659283.992,0,67221336064.0,8589930496.0,1985340781.962,252059648.0,9840.85
run_4_repetition_0,DONE,200,speechless-codellama,66,182.89,0,31916818.523,114898966.227,0,67221336064.0,8589930496.0,1985681729.956,252059648.0,10288.768
run_5_repetition_0,DONE,200,speechless-codellama,16,195.5,0,44578548.967,131303916.899,0,67221336064.0,8589930496.0,2071818432.458,252059648.0,10242.196
run_6_repetition_0,DONE,200,code-millenials,4,193.095,0,54587993.005,138271845.796,0,67221336064.0,8589930496.0,1976644600.587,252059648.0,10745.833
run_7_repetition_0,DONE,200,code-millenials,61,108.256,0,35434651.95,81516829.067,0,67221336064.0,8589930496.0,1973883211.904,252059648.0,6035.661
run_8_repetition_0,DONE,200,code-millenials,79,174.686,0,64325303.163,137183935.914,0,67221336064.0,8589930496.0,1973490637.678,252059648.0,9641.666
run_9_repetition_0,DONE,200,code-millenials,63,130.862,0,54102090.243,107613611.413,0,67221336064.0,8589930496.0,1974010411.707,252059648.0,7431.304
run_10_repetition_0,TODO,200,code-millenials,53, , , , , , , , , , 
run_11_repetition_0,TODO,200,code-millenials,66, , , , , , , , , , 
run_12_repetition_0,TODO,200,code-millenials,52, , , , , , , , , , 
run_13_repetition_0,TODO,200,code-millenials,16, , , , , , , , , , 
run_0_repetition_1,TODO,200,speechless-codellama,4, , , , , , , , , , 
run_1_repetition_1,TODO,200,speechless-codellama,79, , , , , , , , , , 
run_2_repetition_1,TODO,200,speechless-codellama,63, , , , , , , , , , 
run_3_repetition_1,TODO,200,speechless-codellama,53, , , , , , , , , , 
run_4_repetition_1,TODO,200,speechless-codellama,66, , , , , , , , , , 
run_5_repetition_1,TODO,200,speechless-codellama,16, , , , , , , , , , 
run_6_repetition_1,TODO,200,code-millenials,4, , , , , , , , , , 
run_7_repetition_1,TODO,200,code-millenials,61, , , , , , , , , , 
run_8_repetition_1,TODO,200,code-millenials,79, , , , , , , , , , 
run_9_repetition_1,TODO,200,code-millenials,63, , , , , , , , , , 
run_10_repetition_1,TODO,200,code-millenials,53, , , , , , , , , , 
run_11_repetition_1,TODO,200,code-millenials,66, , , , , , , , , , 
run_12_repetition_1,TODO,200,code-millenials,52, , , , , , , , , , 
run_13_repetition_1,TODO,200,code-millenials,16, , , , , , , , , , 
run_0_repetition_2,TODO,200,speechless-codellama,4, , , , , , , , , , 
run_1_repetition_2,TODO,200,speechless-codellama,79, , , , , , , , , , 
run_2_repetition_2,TODO,200,speechless-codellama,63, , , , , , , , , , 
run_3_repetition_2,TODO,200,speechless-codellama,53, , , , , , , , , , 
run_4_repetition_2,TODO,200,speechless-codellama,66, , , , , , , , , , 
run_5_repetition_2,TODO,200,speechless-codellama,16, , , , , , , , , , 
run_6_repetition_2,TODO,200,code-millenials,4, , , , , , , , , , 
run_7_repetition_2,TODO,200,code-millenials,61, , , , , , , , , , 
run_8_repetition_2,TODO,200,code-millenials,79, , , , , , , , , , 
run_9_repetition_2,TODO,200,code-millenials,63, , , , , , , , , , 
run_10_repetition_2,TODO,200,code-millenials,53, , , , , , , , , , 
run_11_repetition_2,TODO,200,code-millenials,66, , , , , , , , , , 
run_12_repetition_2,TODO,200,code-millenials,52, , , , , , , , , , 
run_13_repetition_2,TODO,200,code-millenials,16, , , , , , , , , , 
run_0_repetition_3,TODO,200,speechless-codellama,4, , , , , , , , , , 
run_1_repetition_3,TODO,200,speechless-codellama,79, , , , , , , , , , 
run_2_repetition_3,TODO,200,speechless-codellama,63, , , , , , , , , , 
run_3_repetition_3,TODO,200,speechless-codellama,53, , , , , , , , , , 
run_4_repetition_3,TODO,200,speechless-codellama,66, , , , , , , , , , 
run_5_repetition_3,TODO,200,speechless-codellama,16, , , , , , , , , , 
run_6_repetition_3,TODO,200,code-millenials,4, , , , , , , , , , 
run_7_repetition_3,TODO,200,code-millenials,61, , , , , , , , , , 
run_8_repetition_3,TODO,200,code-millenials,79, , , , , , , , , , 
run_9_repetition_3,TODO,200,code-millenials,63, , , , , , , , , , 
run_10_repetition_3,TODO,200,code-millenials,53, , , , , , , , , , 
run_11_repetition_3,TODO,200,code-millenials,66, , , , , , , , , , 
run_12_repetition_3,TODO,200,code-millenials,52, , , , , , , , , , 
run_13_repetition_3,TODO,200,code-millenials,16, , , , , , , , , , 
run_0_repetition_4,TODO,200,speechless-codellama,4, , , , , , , , , , 
run_1_repetition_4,TODO,200,speechless-codellama,79, , , , , , , , , , 
run_2_repetition_4,TODO,200,speechless-codellama,63, , , , , , , , , , 
run_3_repetition_4,TODO,200,speechless-codellama,53, , , , , , , , , , 
run_4_repetition_4,TODO,200,speechless-codellama,66, , , , , , , , , , 
run_5_repetition_4,TODO,200,speechless-codellama,16, , , , , , , , , , 
run_6_repetition_4,TODO,200,code-millenials,4, , , , , , , , , , 
run_7_repetition_4,TODO,200,code-millenials,61, , , , , , , , , , 
