Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727517377223,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,7.692307949066162,5.263157844543457,2.702702760696411,2.702702760696411,5.263157844543457,0,2.702702760696411,5.128205299377441,2.702702760696411,5.263157844543457,5.263157844543457,5.263157844543457,2.6315789222717285,7.894736289978027,0,2.6315789222717285,5.263157844543457,2.6315789222717285,5.263157844543457,2.702702760696411,5.128205299377441,2.6315789222717285,2.6315789222717285,5.128205299377441,5.263157844543457,2.702702760696411,5.128205299377441,5.128205299377441,5.263157844543457,2.6315789222717285,7.894736289978027,2.6315789222717285,0,147493.4901123047,153902.19409179688,0,67221336064,8589930496,1967337472,252059648
199,1727517377223,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,7.692307949066162,5.263157844543457,2.702702760696411,2.702702760696411,5.263157844543457,0,2.702702760696411,5.128205299377441,2.702702760696411,5.263157844543457,5.263157844543457,5.263157844543457,2.6315789222717285,7.894736289978027,0,2.6315789222717285,5.263157844543457,2.6315789222717285,5.263157844543457,2.702702760696411,5.128205299377441,2.6315789222717285,2.6315789222717285,5.128205299377441,5.263157844543457,2.702702760696411,5.128205299377441,5.128205299377441,5.263157844543457,2.6315789222717285,7.894736289978027,2.6315789222717285,0,147493.49938964844,153902.19549560547,0,67221336064,8589930496,1967337472,252059648
200,1727517377423,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,15.000000953674316,0,85,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147503.42962646484,153910.4476928711,0,67221336064,8589930496,1972240384,252059648
200,1727517377623,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147514.04034423828,153919.37963867188,0,67221336064,8589930496,1972240384,252059648
200,1727517377823,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147524.8062133789,153928.46258544922,0,67221336064,8589930496,1972240384,252059648
200,1727517378024,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147535.6083984375,153937.58984375,0,67221336064,8589930496,1972240384,252059648
200,1727517378224,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147546.4190673828,153946.72235107422,0,67221336064,8589930496,1972240384,252059648
200,1727517378424,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147557.27124023438,153955.8935546875,0,67221336064,8589930496,1972240384,252059648
200,1727517378624,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147568.23999023438,153965.1039428711,0,67221336064,8589930496,1972240384,252059648
200,1727517378824,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147579.17138671875,153974.427734375,0,67221336064,8589930496,1972240384,252059648
200,1727517379024,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147590.1036376953,153983.67999267578,0,67221336064,8589930496,1972240384,252059648
200,1727517379224,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147601.0542602539,153992.95043945313,0,67221336064,8589930496,1972240384,252059648
200,1727517379424,1098,1099,800,1100,1217,800,1100,800,800,802,799,800,1099,799,799,800,800,800,799,799,800,800,800,800,799,800,1100,800,800,800,901,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147612.0623779297,154002.27569580078,0,67221336064,8589930496,1972240384,252059648
