code, run
chatgpt_temp_0.0/16.py, 2m56.500s
chatgpt_temp_0.0/4.py, 2m52.895s
chatgpt_temp_0.0/52.py, 2m53.480s
chatgpt_temp_0.0/53.py, 2m51.433s
chatgpt_temp_0.0/61.py, 2m35.981s
chatgpt_temp_0.0/63.py, 2m55.472s
chatgpt_temp_0.0/66.py, 2m45.632s
chatgpt_temp_0.0/79.py, 2m54.983s
chatgpt_temp_0.0/90.py, 2m44.206s
code-millenials-34b_temp_0.0/16.py, 2m56.017s
code-millenials-34b_temp_0.0/4.py, 3m0.764s
code-millenials-34b_temp_0.0/52.py, 2m57.899s
code-millenials-34b_temp_0.0/53.py, 2m46.173s
code-millenials-34b_temp_0.0/61.py, 2m29.122s
code-millenials-34b_temp_0.0/63.py, 3m6.998s
code-millenials-34b_temp_0.0/66.py, 2m36.956s
code-millenials-34b_temp_0.0/79.py, 3m4.271s
code-millenials-34b_temp_0.0/90.py, 3m10.976s
deepseek-coder-33b-instruct_temp_0.0/16.py, 3m5.779s
deepseek-coder-33b-instruct_temp_0.0/4.py, 2m55.911s
deepseek-coder-33b-instruct_temp_0.0/52.py, 2m38.195s
deepseek-coder-33b-instruct_temp_0.0/53.py, 2m42.321s
deepseek-coder-33b-instruct_temp_0.0/61.py, 4m7.695s
deepseek-coder-33b-instruct_temp_0.0/63.py, 3m24.619s
deepseek-coder-33b-instruct_temp_0.0/66.py, 2m36.992s
deepseek-coder-33b-instruct_temp_0.0/79.py, 2m51.842s
deepseek-coder-33b-instruct_temp_0.0/90.py, 3m24.721s
gpt-4_temp_0.0/16.py, 2m55.594s
gpt-4_temp_0.0/4.py, 2m56.752s
gpt-4_temp_0.0/52.py, 2m58.965s
gpt-4_temp_0.0/53.py, 2m44.932s
gpt-4_temp_0.0/61.py, 2m2.552s
gpt-4_temp_0.0/63.py, 3m11.143s
gpt-4_temp_0.0/66.py, 2m39.326s
gpt-4_temp_0.0/79.py, 2m48.636s
gpt-4_temp_0.0/90.py, 2m46.431s
speechless-codellama-34b_temp_0.0/16.py, 2m56.183s
speechless-codellama-34b_temp_0.0/4.py, 2m23.996s
speechless-codellama-34b_temp_0.0/52.py, 2m58.619s
speechless-codellama-34b_temp_0.0/53.py, 2m49.014s
speechless-codellama-34b_temp_0.0/61.py, 2m15.446s
speechless-codellama-34b_temp_0.0/63.py, 1m41.427s
speechless-codellama-34b_temp_0.0/66.py, 2m53.914s
speechless-codellama-34b_temp_0.0/79.py, 2m56.571s
speechless-codellama-34b_temp_0.0/90.py, 2m44.124s
wizardcoder-33b-1.1_temp_0.0/16.py, 2m56.343s
wizardcoder-33b-1.1_temp_0.0/4.py, 2m55.177s
wizardcoder-33b-1.1_temp_0.0/52.py, 2m51.937s
wizardcoder-33b-1.1_temp_0.0/53.py, 2m48.986s
wizardcoder-33b-1.1_temp_0.0/61.py, 4m34.621s
wizardcoder-33b-1.1_temp_0.0/63.py, 3m26.225s
wizardcoder-33b-1.1_temp_0.0/66.py, 2m43.897s
wizardcoder-33b-1.1_temp_0.0/79.py, 2m58.898s
wizardcoder-33b-1.1_temp_0.0/90.py, 3m26.698s
