__run_id,__done,llm,code
run_0_repetition_0,DONE,code-millenials-34b_temp_0.0,4
run_1_repetition_0,DONE,code-millenials-34b_temp_0.0,61
run_2_repetition_0,DONE,code-millenials-34b_temp_0.0,79
run_3_repetition_0,DONE,code-millenials-34b_temp_0.0,63
run_4_repetition_0,DONE,code-millenials-34b_temp_0.0,90
run_5_repetition_0,DONE,code-millenials-34b_temp_0.0,53
run_6_repetition_0,DONE,code-millenials-34b_temp_0.0,66
run_7_repetition_0,DONE,code-millenials-34b_temp_0.0,52
run_8_repetition_0,DONE,code-millenials-34b_temp_0.0,16
run_9_repetition_0,DONE,speechless-codellama-34b_temp_0.0,4
run_10_repetition_0,DONE,speechless-codellama-34b_temp_0.0,61
run_11_repetition_0,DONE,speechless-codellama-34b_temp_0.0,79
run_12_repetition_0,DONE,speechless-codellama-34b_temp_0.0,63
run_13_repetition_0,DONE,speechless-codellama-34b_temp_0.0,90
run_14_repetition_0,DONE,speechless-codellama-34b_temp_0.0,53
run_15_repetition_0,DONE,speechless-codellama-34b_temp_0.0,66
run_16_repetition_0,DONE,speechless-codellama-34b_temp_0.0,52
run_17_repetition_0,DONE,speechless-codellama-34b_temp_0.0,16
run_18_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_0,DONE,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_1,DONE,code-millenials-34b_temp_0.0,4
run_1_repetition_1,DONE,code-millenials-34b_temp_0.0,61
run_2_repetition_1,DONE,code-millenials-34b_temp_0.0,79
run_3_repetition_1,DONE,code-millenials-34b_temp_0.0,63
run_4_repetition_1,DONE,code-millenials-34b_temp_0.0,90
run_5_repetition_1,DONE,code-millenials-34b_temp_0.0,53
run_6_repetition_1,DONE,code-millenials-34b_temp_0.0,66
run_7_repetition_1,DONE,code-millenials-34b_temp_0.0,52
run_8_repetition_1,DONE,code-millenials-34b_temp_0.0,16
run_9_repetition_1,DONE,speechless-codellama-34b_temp_0.0,4
run_10_repetition_1,DONE,speechless-codellama-34b_temp_0.0,61
run_11_repetition_1,DONE,speechless-codellama-34b_temp_0.0,79
run_12_repetition_1,DONE,speechless-codellama-34b_temp_0.0,63
run_13_repetition_1,DONE,speechless-codellama-34b_temp_0.0,90
run_14_repetition_1,DONE,speechless-codellama-34b_temp_0.0,53
run_15_repetition_1,DONE,speechless-codellama-34b_temp_0.0,66
run_16_repetition_1,DONE,speechless-codellama-34b_temp_0.0,52
run_17_repetition_1,DONE,speechless-codellama-34b_temp_0.0,16
run_18_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_1,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_2,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_2,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_2,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_2,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_2,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_2,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_2,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_2,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_2,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_2,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_2,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_2,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_2,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_2,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_2,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_2,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_2,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_2,TODO,speechless-codellama-34b_temp_0.0,16
run_18_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_2,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_3,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_3,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_3,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_3,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_3,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_3,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_3,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_3,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_3,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_3,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_3,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_3,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_3,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_3,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_3,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_3,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_3,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_3,TODO,speechless-codellama-34b_temp_0.0,16
run_18_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_3,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_4,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_4,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_4,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_4,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_4,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_4,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_4,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_4,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_4,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_4,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_4,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_4,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_4,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_4,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_4,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_4,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_4,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_4,TODO,speechless-codellama-34b_temp_0.0,16
run_18_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_4,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_5,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_5,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_5,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_5,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_5,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_5,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_5,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_5,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_5,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_5,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_5,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_5,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_5,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_5,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_5,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_5,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_5,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_5,TODO,speechless-codellama-34b_temp_0.0,16
run_18_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_5,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_6,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_6,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_6,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_6,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_6,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_6,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_6,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_6,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_6,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_6,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_6,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_6,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_6,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_6,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_6,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_6,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_6,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_6,TODO,speechless-codellama-34b_temp_0.0,16
run_18_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,4
run_19_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,61
run_20_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,79
run_21_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,63
run_22_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,90
run_23_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,53
run_24_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,66
run_25_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,52
run_26_repetition_6,TODO,wizardcoder-33b-1.1_temp_0.0,16
run_0_repetition_7,TODO,code-millenials-34b_temp_0.0,4
run_1_repetition_7,TODO,code-millenials-34b_temp_0.0,61
run_2_repetition_7,TODO,code-millenials-34b_temp_0.0,79
run_3_repetition_7,TODO,code-millenials-34b_temp_0.0,63
run_4_repetition_7,TODO,code-millenials-34b_temp_0.0,90
run_5_repetition_7,TODO,code-millenials-34b_temp_0.0,53
run_6_repetition_7,TODO,code-millenials-34b_temp_0.0,66
run_7_repetition_7,TODO,code-millenials-34b_temp_0.0,52
run_8_repetition_7,TODO,code-millenials-34b_temp_0.0,16
run_9_repetition_7,TODO,speechless-codellama-34b_temp_0.0,4
run_10_repetition_7,TODO,speechless-codellama-34b_temp_0.0,61
run_11_repetition_7,TODO,speechless-codellama-34b_temp_0.0,79
run_12_repetition_7,TODO,speechless-codellama-34b_temp_0.0,63
run_13_repetition_7,TODO,speechless-codellama-34b_temp_0.0,90
run_14_repetition_7,TODO,speechless-codellama-34b_temp_0.0,53
run_15_repetition_7,TODO,speechless-codellama-34b_temp_0.0,66
run_16_repetition_7,TODO,speechless-codellama-34b_temp_0.0,52
run_17_repetition_7,TODO,speechless-codellama-34b_temp_0.0,16
