Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724697295778,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,4.545454502105713,0,4.545454502105713,4.761904716491699,4.761904716491699,9.523809432983398,0,4.545454502105713,0,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,4.761904716491699,0,0,0,4.761904716491699,0,9.090909004211426,0,0,0,4.545454502105713,0,37392.476318359375,17208.572021484375,0,404335509504,0,27014459392,0
199,1724697295778,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,4.545454502105713,0,4.545454502105713,4.761904716491699,4.761904716491699,9.523809432983398,0,4.545454502105713,0,4.761904716491699,4.545454502105713,0,4.545454502105713,4.545454502105713,0,0,4.545454502105713,0,4.761904716491699,0,0,0,4.761904716491699,0,9.090909004211426,0,0,0,4.545454502105713,0,37392.48748779297,17208.5966796875,0,404335509504,0,27014565888,0
199,1724697295978,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,5,10,19.047618865966797,14.285715103149414,5,13.636363983154297,5,19.047618865966797,0,0,5,9.523809432983398,9.523809432983398,0,25,9.523809432983398,100,5,5,4.761904716491699,9.090909004211426,9.523809432983398,5,5,5,4.761904716491699,4.761904716491699,5,4.761904716491699,10.526315689086914,5,37394.68035888672,17213.038635253906,0,404335509504,0,27018493952,0
199,1724697296178,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,100,0,0,10,5,0,0,0,9.523809432983398,0,5.263157844543457,0,0,0,100,0,0,0,0,0,4.761904716491699,5,0,0,0,0,0,0,0,37396.757080078125,17217.65740966797,0,404335509504,0,27018498048,0
199,1724697296378,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,37398.479736328125,17222.662170410156,0,404335509504,0,27018498048,0
199,1724697296578,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,37400.27111816406,17227.7822265625,0,404335509504,0,27018498048,0
199,1724697296779,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,2.4390242099761963,0,2.5,0,0,4.878048419952393,0,0,0,2.5,2.5,0,0,0,0,0,2.5,100,0,2.4390242099761963,0,0,0,2.4390242099761963,0,0,0,0,2.4390242099761963,0,2.5,2.5,37401.982177734375,17232.92071533203,0,404335509504,0,27018498048,0
199,1724697296979,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,5,5,100,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,37403.72393798828,17238.157348632813,0,404335509504,0,27018498048,0
199,1724697297179,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,37405.49237060547,17243.369873046875,0,404335509504,0,27018502144,0
199,1724697297379,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,37407.243591308594,17248.604064941406,0,404335509504,0,27018502144,0
199,1724697297579,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,37409.038024902344,17253.768005371094,0,404335509504,0,27018502144,0
199,1724697297779,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37410.77276611328,17258.93359375,0,404335509504,0,27018502144,0
199,1724697297980,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37412.50018310547,17264.14813232422,0,404335509504,0,27018502144,0
199,1724697298180,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,90.47618865966797,5,37414.24182128906,17269.402770996094,0,404335509504,0,27018502144,0
199,1724697298380,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,37415.96789550781,17274.579040527344,0,404335509504,0,27018502144,0
199,1724697298580,996,800,800,824,915,822,879,800,950,800,800,799,800,800,800,799,800,800,818,800,846,912,930,800,825,800,799,800,800,800,800,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,37417.70379638672,17279.744140625,0,404335509504,0,27018502144,0
