Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1724741883075,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,8.69565200805664,4.545454502105713,4.545454502105713,0,4.545454502105713,4.34782600402832,4.34782600402832,16.666667938232422,4.34782600402832,0,4.545454502105713,0,4.545454502105713,4.34782600402832,0,4.34782600402832,4.545454502105713,4.34782600402832,0,4.34782600402832,0,8.333333969116211,4.545454502105713,0,0,0,0,0,0,4.34782600402832,178811.64129638672,220840.90264892578,0,404334891008,8589930496,37614333952,12402688
199,1724741883075,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,8.69565200805664,4.545454502105713,4.545454502105713,0,4.545454502105713,4.34782600402832,4.34782600402832,16.666667938232422,4.34782600402832,0,4.545454502105713,0,4.545454502105713,4.34782600402832,0,4.34782600402832,4.545454502105713,4.34782600402832,0,4.34782600402832,0,8.333333969116211,4.545454502105713,0,0,0,0,0,0,4.34782600402832,178811.64569091797,220840.923828125,0,404334891008,8589930496,37614477312,12402688
199,1724741883275,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,4.761904716491699,0,100,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,178812.09350585938,220845.19854736328,0,404334891008,8589930496,37622456320,12402688
199,1724741883475,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,9.523809432983398,0,4.761904716491699,0,100,10,0,11.111111640930176,10.526315689086914,0,5,15.000000953674316,25,5.263157844543457,4.761904716491699,5.263157844543457,0,5.263157844543457,5,5,0,0,9.523809432983398,0,5,10,10,10,5,0,0,178813.01013183594,220851.44799804688,0,404334891008,8589930496,37622714368,12402688
199,1724741883676,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,9.523809432983398,0,4.761904716491699,0,100,10,0,11.111111640930176,10.526315689086914,0,5,15.000000953674316,25,5.263157844543457,4.761904716491699,5.263157844543457,0,5.263157844543457,5,5,0,0,9.523809432983398,0,5,10,10,10,5,0,0,178813.45874023438,220856.85931396484,0,404334891008,8589930496,37622714368,12402688
199,1724741883876,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,0,0,2.4390242099761963,0,0,0,4.878048419952393,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,0,178813.89654541016,220862.31762695313,0,404334891008,8589930496,37622714368,12402688
199,1724741884076,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.263157844543457,0,0,0,0,0,0,0,178814.31127929688,220867.74420166016,0,404334891008,8589930496,37622714368,12402688
199,1724741884276,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,4.761904716491699,0,0,0,100,0,0,9.523809432983398,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178814.7421875,220873.16638183594,0,404334891008,8589930496,37622718464,12402688
199,1724741884476,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,5,0,0,0,0,100,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178815.15887451172,220878.58862304688,0,404334891008,8589930496,37622722560,12402688
199,1724741884676,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,178815.60278320313,220884.00408935547,0,404334891008,8589930496,37622722560,12402688
199,1724741884876,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,178816.03533935547,220889.39514160156,0,404334891008,8589930496,37622722560,12402688
199,1724741885076,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,5,0,0,0,0,0,2.4390242099761963,0,0,0,0,2.4390242099761963,0,0,2.4390242099761963,2.5,2.5,0,2.4390242099761963,0,0,0,0,0,2.5,0,178816.47686767578,220894.8696899414,0,404334891008,8589930496,37622722560,12402688
199,1724741885276,1669,1789,1386,2041,2096,2100,1877,2057,1591,1713,1389,860,1393,1152,1728,1048,880,2099,1025,1762,2053,1825,2099,1131,2021,1408,1607,1803,1051,1153,2100,1155,0,0,0,0,0,100,5,0,0,0,0,0,2.4390242099761963,0,0,0,0,2.4390242099761963,0,0,2.4390242099761963,2.5,2.5,0,2.4390242099761963,0,0,0,0,0,2.5,0,178816.89288330078,220900.32556152344,0,404334891008,8589930496,37622722560,12402688
