Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727809370635,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,100,0,100,4.545454502105713,100,0,0,4.761904716491699,100,100,0,0,0,0,0,0,61134.48516845703,70097.67907714844,0,404334895104,8589930496,121931571200,0
199,1727809370635,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,100,0,100,4.545454502105713,100,0,0,4.761904716491699,100,100,0,0,0,0,0,0,61134.48516845703,70097.67907714844,0,404334895104,8589930496,121931628544,0
199,1727809370835,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,0,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,100,0,0,0,100,100,0,0,0,0,0,0,61137.294006347656,70107.12341308594,0,404334895104,8589930496,121935622144,0
199,1727809371036,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,0,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,100,0,0,0,100,100,0,0,0,0,0,0,61140.127685546875,70116.53155517578,0,404334895104,8589930496,121935622144,0
199,1727809371236,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,80,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,25,0,0,0,100,100,0,0,0,0,0,0,61142.91296386719,70125.94927978516,0,404334895104,8589930496,121935622144,0
199,1727809371436,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,100,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,4.761904716491699,0,0,0,61145.726501464844,70135.36267089844,0,404334895104,8589930496,121935622144,0
199,1727809371636,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,100,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,0,0,61148.58056640625,70144.75817871094,0,404334895104,8589930496,121935622144,0
199,1727809371836,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,100,0,100,0,0,100,100,100,100,0,0,0,0,100,0,100,0,0,0,0,0,100,100,0,0,0,0,4.761904716491699,0,61151.42120361328,70154.14752197266,0,404334895104,8589930496,121935622144,0
199,1727809372036,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,100,5,100,4.761904716491699,0,100,100,100,100,0,25,5,5,100,9.090909004211426,100,10,0,0,0,0,100,100,0,9.523809432983398,0,0,0,0,61154.28564453125,70163.74835205078,0,404334895104,8589930496,121935622144,0
199,1727809372236,2500,2501,2100,2874,2193,1517,2551,2548,2500,2499,2500,2500,2501,1725,2100,1573,2499,2100,2832,2100,2832,2188,1978,2499,2830,2830,1633,1817,1550,2500,2100,2852,0,0,0,100,5,100,4.761904716491699,0,100,100,100,100,0,25,5,5,100,9.090909004211426,100,10,0,0,0,0,100,100,0,9.523809432983398,0,0,0,0,61157.083984375,70173.11694335938,0,404334895104,8589930496,121935626240,0
