Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727570141388,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,2.5641026496887207,0,2.5641026496887207,7.500000476837158,2.5641026496887207,7.317072868347168,5.263157844543457,2.5,2.5641026496887207,0,2.5641026496887207,2.5,5.128205299377441,2.5,0,0,2.5641026496887207,4.878048419952393,5.128205299377441,0,4.878048419952393,5.128205299377441,2.5641026496887207,4.878048419952393,5,2.5641026496887207,2.5,2.5,0,0,2.5641026496887207,0,212722.07360839844,235482.58166503906,0,404335493120,8589930496,24137052160,0
199,1727570141388,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,2.5641026496887207,0,2.5641026496887207,7.500000476837158,2.5641026496887207,7.317072868347168,5.263157844543457,2.5,2.5641026496887207,0,2.5641026496887207,2.5,5.128205299377441,2.5,0,0,2.5641026496887207,4.878048419952393,5.128205299377441,0,4.878048419952393,5.128205299377441,2.5641026496887207,4.878048419952393,5,2.5641026496887207,2.5,2.5,0,0,2.5641026496887207,0,212722.08294677734,235482.60186767578,0,404335493120,8589930496,24137166848,0
199,1727570141588,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.45454406738281,0,0,0,0,0,0,212723.9451904297,235486.64611816406,0,404335493120,8589930496,24140660736,0
199,1727570141788,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,212725.83337402344,235491.14739990234,0,404335493120,8589930496,24140664832,0
199,1727570141988,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,212727.6879272461,235496.1089477539,0,404335493120,8589930496,24140664832,0
199,1727570142188,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,212729.50970458984,235501.17779541016,0,404335493120,8589930496,24140664832,0
199,1727570142389,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,0,0,4.761904716491699,212731.34338378906,235506.26892089844,0,404335493120,8589930496,24140668928,0
199,1727570142589,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,0,0,0,0,4.761904716491699,212733.15521240234,235511.23114013672,0,404335493120,8589930496,24140668928,0
199,1727570142789,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,2.5,2.4390242099761963,0,0,0,0,2.5,0,2.4390242099761963,0,2.5,2.4390242099761963,0,0,2.4390242099761963,2.4390242099761963,0,2.4390242099761963,0,2.5,0,0,0,2.4390242099761963,0,100,0,0,2.4390242099761963,2.4390242099761963,0,2.5,212735.0307006836,235516.34759521484,0,404335493120,8589930496,24140677120,0
199,1727570142989,821,833,835,800,800,820,880,800,814,811,800,800,799,800,925,800,799,942,809,882,800,800,863,800,854,800,799,1039,800,800,800,3009,2.5,2.4390242099761963,0,0,0,0,2.5,0,2.4390242099761963,0,2.5,2.4390242099761963,0,0,2.4390242099761963,2.4390242099761963,0,2.4390242099761963,0,2.5,0,0,0,2.4390242099761963,0,100,0,0,2.4390242099761963,2.4390242099761963,0,2.5,212736.8828125,235521.357421875,0,404335493120,8589930496,24140681216,0
