Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727527035634,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,4.761904716491699,0,4.545454502105713,4.761904716491699,0,4.761904716491699,100,0,0,100,4.545454502105713,100,100,100,0,0,0,100,100,0,100,100,4.545454502105713,0,0,4.761904716491699,4.761904716491699,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,4.761904716491699,169122.34344482422,149595.16033935547,0,404334895104,8589930496,58017550336,0
199,1727527035634,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,4.761904716491699,0,4.545454502105713,4.761904716491699,0,4.761904716491699,100,0,0,100,4.545454502105713,100,100,100,0,0,0,100,100,0,100,100,4.545454502105713,0,0,4.761904716491699,4.761904716491699,4.545454502105713,4.545454502105713,4.761904716491699,4.545454502105713,4.761904716491699,169122.34344482422,149595.16033935547,0,404334895104,8589930496,58017611776,0
199,1727527035834,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,100,0,0,100,42.105262756347656,100,60.000003814697266,100,0,0,0,100,100,0,100,100,0,0,0,4.761904716491699,0,100,0,0,0,0,169125.1577758789,149604.4033203125,0,404334895104,8589930496,58030055424,0
199,1727527036034,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,100,0,0,100,100,100,0,100,0,0,0,100,100,0,100,100,0,0,0,0,0,100,0,0,0,0,169127.94854736328,149613.84997558594,0,404334895104,8589930496,58041577472,0
199,1727527036235,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,100,4.761904716491699,0,100,100,100,0,100,0,0,0,100,100,0,100,100,0,0,0,0,0,100,0,0,0,0,169130.72247314453,149623.29833984375,0,404334895104,8589930496,58053033984,0
199,1727527036435,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,100,0,0,100,100,100,0,100,0,0,4.761904716491699,100,100,0,100,100,0,0,0,0,0,100,0,0,0,0,169133.49584960938,149632.74291992188,0,404334895104,8589930496,58064609280,0
199,1727527036635,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,100,0,0,100,100,100,0,100,0,0,0,100,100,0,100,100,0,0,0,0,0,100,0,0,0,0,169136.28302001953,149642.17114257813,0,404334895104,8589930496,58076123136,0
199,1727527036835,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,23.809524536132813,0,0,100,100,100,0,100,0,0,0,100,100,0,100,100,5,0,78.94737243652344,0,0,100,0,0,4.761904716491699,0,169139.12963867188,149651.62506103516,0,404334895104,8589930496,58087563264,0
199,1727527037035,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,0,0,0,0,0,0,23.809524536132813,0,0,100,100,100,0,100,0,0,0,100,100,0,100,100,5,0,78.94737243652344,0,0,100,0,0,4.761904716491699,0,169141.9468383789,149661.05993652344,0,404334895104,8589930496,58022920192,0
199,1727527037235,2099,2529,2000,2500,2499,1074,2499,1955,2100,2748,2614,2747,2752,2747,1990,2099,2100,2500,2500,2000,2499,2500,1039,2629,2500,1930,2530,2011,2045,2099,2499,2499,2.5,0,0,0,0,0,0,0,2.4390242099761963,100,100,100,0,100,4.761904716491699,0,2.5,100,100,0,100,100,0,0,100,2.5641026496887207,0,100,0,0,0,0,169144.74493408203,149670.53125,0,404334895104,8589930496,58033844224,0
